Frame,Running Gait Cycle,Sub Phase,% Cycle,Trunk Lean,Front Knee Angle,Back Knee Angle,Front Hip Angle,Angle Each Body %,Result
147,0,Terminal Stance,100.0%,8.14 (Accurate ),11.87 (Inaccurate ),5.8 (Inaccurate ),9.51 (Inaccurate ),25.0 % ,Should Improve
148,0,Terminal Stance,100.0%,8.33 (Accurate ),14.03 (Inaccurate ),5.79 (Inaccurate ),8.02 (Inaccurate ),25.0 % ,Should Improve
149,0,Terminal Stance,100.0%,8.22 (Accurate ),14.21 (Inaccurate ),6.37 (Inaccurate ),8.62 (Inaccurate ),25.0 % ,Should Improve
150,0,Terminal Stance,100.0%,7.7 (Accurate ),14.34 (Inaccurate ),6.32 (Inaccurate ),9.72 (Inaccurate ),25.0 % ,Should Improve
151,0,Terminal Stance,100.0%,7.12 (Accurate ),13.86 (Inaccurate ),7.2 (Inaccurate ),11.72 (Inaccurate ),25.0 % ,Should Improve
152,0,Terminal Stance,100.0%,7.12 (Accurate ),15.27 (Inaccurate ),8.17 (Inaccurate ),11.35 (Inaccurate ),25.0 % ,Should Improve
153,0,Terminal Stance,100.0%,6.63 (Accurate ),17.09 (Inaccurate ),8.98 (Inaccurate ),11.38 (Inaccurate ),25.0 % ,Should Improve
154,0,Terminal Stance,100.0%,6.39 (Accurate ),18.15 (Inaccurate ),8.58 (Inaccurate ),11.07 (Inaccurate ),25.0 % ,Should Improve
155,0,Terminal Stance,100.0%,5.67 (Accurate ),18.94 (Inaccurate ),8.81 (Inaccurate ),11.75 (Inaccurate ),25.0 % ,Should Improve
156,0,Terminal Stance,100.0%,5.71 (Accurate ),19.87 (Inaccurate ),8.95 (Inaccurate ),11.13 (Inaccurate ),25.0 % ,Should Improve
157,0,Terminal Stance,100.0%,5.6 (Accurate ),20.37 (Inaccurate ),8.92 (Inaccurate ),11.07 (Inaccurate ),25.0 % ,Should Improve
158,0,Terminal Stance,100.0%,5.37 (Accurate ),21.2 (Inaccurate ),10.38 (Inaccurate ),10.95 (Inaccurate ),25.0 % ,Should Improve
159,0,Terminal Stance,100.0%,5.34 (Accurate ),22.46 (Inaccurate ),9.63 (Inaccurate ),10.29 (Inaccurate ),25.0 % ,Should Improve
160,0,Terminal Stance,100.0%,5.36 (Accurate ),23.04 (Inaccurate ),8.48 (Inaccurate ),10.02 (Inaccurate ),25.0 % ,Should Improve
161,0,Terminal Stance,100.0%,5.3 (Accurate ),24.2 (Inaccurate ),8.62 (Inaccurate ),9.76 (Inaccurate ),25.0 % ,Should Improve
162,0,Terminal Stance,100.0%,4.82 (Accurate ),24.5 (Inaccurate ),9.47 (Inaccurate ),10.48 (Inaccurate ),25.0 % ,Should Improve
163,0,Terminal Stance,100.0%,4.93 (Accurate ),26.21 (Inaccurate ),10.19 (Inaccurate ),9.61 (Inaccurate ),25.0 % ,Should Improve
164,0,Terminal Stance,100.0%,5.19 (Accurate ),27.81 (Inaccurate ),9.9 (Inaccurate ),8.25 (Inaccurate ),25.0 % ,Should Improve
165,0,Terminal Stance,100.0%,5.11 (Accurate ),30.15 (Inaccurate ),10.07 (Inaccurate ),7.14 (Inaccurate ),25.0 % ,Should Improve
166,0,Terminal Stance,100.0%,4.53 (Accurate ),30.35 (Inaccurate ),10.68 (Inaccurate ),8.13 (Inaccurate ),25.0 % ,Should Improve
167,0,Terminal Stance,100.0%,4.5 (Accurate ),30.56 (Inaccurate ),11.16 (Inaccurate ),8.21 (Inaccurate ),25.0 % ,Should Improve
